"metric","percentile","p_value","Estimate","OR","Std_Error","CI_Lower","CI_Upper","type","p_value_corrected_BH"
"min_C_thread_slippage_right","50%",3.71007837039622e-05,0.000337553661417869,1.00033761063907,8.18345527186144e-05,1.00018135575444,1.00050263862771,"af",7.3230119272886e-05
"Travatos_G","50%",9.49437794086114e-06,0.254901385992506,1.29033436955542,0.0575608733096319,1.15291865972198,1.44480351216581,"af",3.22808849989279e-05
"Gn","75%",0.00447904125073693,0.186368291711458,1.20486592080644,0.0655697146729646,1.05966072718971,1.37032040266477,"af",0.00585720778942522
"Gc","75%",2.08741367783366e-05,0.266541368975817,1.30544159299998,0.062637069138107,1.15481351308374,1.47628248862092,"af",4.43575406539652e-05
"Gmax","75%",3.18912252974511e-05,0.318073268553,1.37447696347661,0.0764686798712206,1.18323960195151,1.59698239259007,"af",6.02389811174076e-05
"Gsum","75%",0.00136242206186871,0.168182061037041,1.18315199692003,0.0525159321294057,1.06741760049451,1.31148177245958,"af",0.00193009792098067
"N_term_thread","75%",0.000357167254598363,0.0856144964656237,1.08938628508306,0.0239825684760494,1.03945129434381,1.14195421578749,"af",0.000607184332817218
"C_term_thread","75%",0.0183916748817367,0.0540370267613109,1.05552368405505,0.0229199958127693,1.00920751590719,1.10412290779535,"af",0.0223327480706803
"ENT.ID","75%",5.92530000640908e-06,0.0420244052814296,1.0429199311946,0.00927888228802075,1.02417100652773,1.06211748634797,"af",1.43900143012792e-05
"num_zipper_nc","75%",2.13953705592052e-07,0.00370137707935843,1.00370823563492,0.000713616617568834,1.00231217332445,1.00512205440615,"af",9.09303248766222e-07
"num_loop_contacting_res","75%",3.75649014222164e-10,0.00499549327343233,1.00500799155298,0.000797514925650929,1.00344062238034,1.00658306604061,"af",5.57190504032512e-09
"num_cross_nearest_neighbors","75%",0.00123528805857829,0.00528813088386867,1.00530213772711,0.00163688595653983,1.00208230642812,1.00853449011234,"af",0.00190908154507554
"min_N_thread_depth_left","75%",0.107834316665866,0.120159278899885,1.12767645234045,0.0747257367859511,0.974375947325628,1.30605781870674,"af",0.122212225554648
"min_N_prot_depth_left","75%",0.923611565427547,-0.00855432127023107,0.991482162829611,0.0892139833683453,0.832376935086114,1.18089610005285,"af",0.95864042246897
"min_N_thread_slippage_left","75%",0.95864042246897,6.49406902685166e-06,1.00000649409011,0.000125223614422727,0.999760659002836,1.00025165347943,"af",0.95864042246897
"min_C_thread_depth_right","75%",1.56959494294095e-07,0.366115032311064,1.44212112363918,0.0698132866094502,1.2581006376899,1.65417534432381,"af",8.89437134333205e-07
"min_C_prot_depth_right","75%",6.5551824003825e-10,0.559072031420826,1.74904868476482,0.0905164739246063,1.4648293620306,2.08880363054186,"af",5.57190504032512e-09
"min_C_thread_slippage_right","75%",1.97891844967409e-06,0.000409739594235404,1.00040982354897,8.61600178599272e-05,1.00024555675207,1.00058397980551,"af",5.94655194890162e-06
"Travatos_G","75%",2.09878304078881e-06,0.297395172871107,1.34634723424014,0.0626930268753023,1.19074395423694,1.52255860316926,"af",5.94655194890162e-06
"Gn","95%",0.000100708766099898,0.339283747080507,1.40394165304597,0.0872446386927979,1.18310153847054,1.6656998960275,"af",0.000142670751974855
"Gc","95%",3.16579428065556e-05,0.346171131405995,1.41364451409216,0.0831902135032695,1.20090615003698,1.66411527217762,"af",7.68835753873492e-05
"Gmax","95%",1.18715006932719e-06,0.470360831188017,1.60057162519439,0.0968264864255209,1.32252042989778,1.93347155704591,"af",4.03631023571246e-06
"Gsum","95%",0.000120309175775473,0.25942959035551,1.29619051618523,0.0674632448654303,1.13495745109792,1.47870991711716,"af",0.000157327383706387
"N_term_thread","95%",9.4741517348591e-05,0.120489037633097,1.12804837481781,0.0308655105217449,1.06154655288065,1.19817636278589,"af",0.000142670751974855
"C_term_thread","95%",0.014481723934236,0.0704124742700615,1.07295065453156,0.0287975343324254,1.01373576651765,1.13498385688699,"af",0.0164126204588008
"ENT.ID","95%",3.85304997307817e-07,0.058059371702512,1.05977791466154,0.0114378405357441,1.03632185415533,1.08386450335791,"af",1.63754623855822e-06
"num_zipper_nc","95%",5.39014538190862e-12,0.0060258148395324,1.00604400658344,0.000873952044289091,1.00432066505064,1.00777116436717,"af",4.58162357462233e-11
"num_loop_contacting_res","95%",3.13638151829623e-13,0.00739805156336853,1.00742548475583,0.00101504350679274,1.00542426360612,1.00943401081902,"af",5.33184858110359e-12
"num_cross_nearest_neighbors","95%",6.65081190802972e-05,0.00828376759617507,1.0083181729353,0.00207694222369933,1.00420575669951,1.01241854228551,"af",0.000125626447151672
"min_N_thread_depth_left","95%",0.00502506190015318,0.294259849675166,1.34213261108227,0.104889662583309,1.09497355249205,1.65214855362918,"af",0.00610186087875743
"min_N_prot_depth_left","95%",0.342440276684031,0.11295252719213,1.11957878213857,0.118978223176455,0.886807032070882,1.4138896779703,"af",0.363842793976783
"min_N_thread_slippage_left","95%",0.396598388600383,0.000131427659539161,1.00013143629653,0.000155038104276785,0.999827946226111,1.00043611648955,"af",0.396598388600383
"min_C_thread_depth_right","95%",5.1596247309432e-05,0.391031999503886,1.47850582410905,0.096592224549366,1.22515078801537,1.78930272958281,"af",0.000109642025532543
"min_C_prot_depth_right","95%",1.11438370757967e-05,0.533259138582108,1.70447839728052,0.121369080177897,1.34387677261772,2.16281678943537,"af",3.15742050480906e-05
"min_C_thread_slippage_right","95%",0.000100513259191564,0.000388042407579051,1.00038811770577,9.97705150894751e-05,1.00019645393925,1.00058917145316,"af",0.000142670751974855
"Travatos_G","95%",3.3341828469128e-09,0.47683874738677,1.61097364939771,0.0806255782413396,1.37489251652567,1.88617783055472,"af",1.88937027991725e-08
