"type","cov_type","Percentile","Disease_Class","Estimate","OR","CI_lower","CI_upper","p_value","DidNotConverge","Entangled_and_Disease","NotEntangled_and_Disease","Entangled_and_NoDisease","NotEntangled_and_NoDisease","n_tested_BH","p_value_BH"
"af","noncovalent","95th","Endocrine System Diseases (C19)",0.289189311572033,1.33534450076804,0.915051608480316,1.94868236852,0.133714183650248,FALSE,124,39,7801,4100,23,0.180907424938571
"af","noncovalent","95th","Immune System Diseases (C20)",0.503179295903675,1.65397138489333,1.11296708366039,2.45795350303523,0.0127924395245721,FALSE,116,35,7832,4107,23,0.0226327776203969
"af","noncovalent","95th","Disorders of Environmental Origin (C21)",7.76513541249183e-13,1.00000000000078,0,Inf,1,TRUE,0,0,8442,4309,23,1
"af","noncovalent","95th","Pathological Conditions, Signs and Symptoms (C23)",0.52223592439941,1.68579274402588,1.27166687377641,2.23478116353763,0.000282488665527138,FALSE,254,67,6872,3861,23,0.000928177043874881
"af","noncovalent","95th","Chemically-Induced Disorders (C25)",16.8573106005376,20942907.4513485,0,Inf,0.988754016225122,FALSE,10,0,8188,4213,23,1
"af","noncovalent","95th","Behavior and Behavior Mechanisms (F01)",1.24486032653767,3.47244975638357,1.63446812069838,7.3772667437871,0.00120421464146462,FALSE,61,8,7847,4164,23,0.00307743741707625
"af","noncovalent","95th","Psychological Phenomena (F02)",17.2063909032487,29692080.0506043,0,Inf,0.99573805462944,FALSE,2,0,8422,4295,23,1
"af","noncovalent","95th","Mental Disorders (F03)",0.697489010180627,2.00870253803877,1.32338539506396,3.04891220756475,0.0010529562721006,FALSE,130,29,7092,3906,23,0.00302724928228921
"af","noncovalent","75th","Infections (C01)",0.408102934870563,1.50396196333273,1.0716250429263,2.11072109790851,0.018274931239716,FALSE,134,52,8196,4211,23,0.0221222851849194
"af","noncovalent","75th","Neoplasms (C04)",0.480233929974821,1.61645249465896,1.38798866288726,1.8825216209287,6.53287824393639e-10,FALSE,828,254,6841,3799,23,2.50426999350895e-09
"af","noncovalent","75th","Musculoskeletal Diseases (C05)",0.450750868672227,1.56949022419936,1.29862283843178,1.89685526155696,3.11102683437386e-06,FALSE,563,155,7609,4067,23,7.95040191006654e-06
"af","noncovalent","75th","Digestive System Diseases (C06)",0.62798018412836,1.87382197904103,1.54923793876673,2.26641029197384,9.76136694026031e-11,FALSE,579,151,7363,3998,23,4.49022879251974e-10
"af","noncovalent","75th","Stomatognathic Diseases (C07)",0.578388349788254,1.78316227983213,1.14850192796496,2.76853493998936,0.00997137969185131,FALSE,106,27,8232,4233,23,0.0134906901713282
"af","noncovalent","75th","Respiratory Tract Diseases (C08)",0.333859474633482,1.39634690762578,1.12215848401643,1.73753058432301,0.00275974500965928,FALSE,362,121,7855,4118,23,0.00396713345138522
